error_both,condition
0.0359427721432942,fixed
0.0280083420546387,fixed
0.0452535973801667,fixed
0.0314334655036466,fixed
0.0352556756522949,fixed
0.0378614455945846,fixed
0.030401980329607,fixed
0.032436760049019,fixed
0.037059336088587,fixed
0.0423197592757976,fixed
0.0422502191255809,fixed
0.0271561623071499,fixed
0.0494120562038585,fixed
0.0353247239203176,fixed
0.0460641730066634,fixed
0.0349642784208816,fixed
0.0341203182849588,fixed
0.0230200791263279,fixed
0.0271147952558455,fixed
0.0264803759920648,fixed
0.0236360183324894,fixed
0.0268680169061882,fixed
0.0250120864791167,fixed
0.0424920324471183,fixed
0.0333599440979557,fixed
0.0410835738358064,fixed
0.0422644822799407,fixed
0.0291272234607201,fixed
0.0367518199538951,fixed
0.0432502625870044,fixed
0.0424162610625377,fixed
0.0641783371019436,fixed
0.0390366415321221,fixed
0.0434628329997667,fixed
0.0357718687370015,fixed
0.0512795964525142,fixed
0.0454469362483364,fixed
0.0321376387767205,fixed
0.0217635755900895,fixed
0.0213190200601954,fixed
0.0321620543736729,fixed
0.0327507106868449,fixed
0.034776537112241,fixed
0.0469469018311659,fixed
0.0400674505859266,fixed
0.0376589587052855,fixed
0.0455300179456623,fixed
0.0391907934058862,fixed
0.0477314720910784,fixed
0.0595392331770051,fixed
0.0542440750474505,fixed
0.0355466113233454,fixed
0.0528612988449995,fixed
0.0594506265392212,fixed
0.0747178354870437,fixed
0.0411452415263252,fixed
0.0493351341180876,fixed
0.066005113620672,fixed
0.0477911772213047,fixed
0.0601916262557173,fixed
0.0399765290930713,fixed
0.0246896820594783,fixed
0.030128490579855,fixed
0.0268336192802897,fixed
0.0305974466550504,fixed
0.046349981506111,fixed
0.0452093053411963,fixed
0.0542671695343013,fixed
0.0477109756978639,fixed
0.0469145019269756,fixed
0.05534621119024,fixed
0.0396161632983438,fixed
0.0500678025241914,fixed
0.0495613342543046,fixed
0.0643637581193582,fixed
0.0626497685157201,fixed
0.0437995472784926,fixed
